100	11611.9
125	5090.52
150	2612.31
175	1482.42
200	902.569
225	579.564
250	387.534
275	267.786
300	190.159
325	138.086
350	102.199
375	76.8342
400	58.6311
425	45.2189
450	35.3143
475	27.8342
500	22.1265
525	17.7394
550	14.3134
575	11.6266
600	9.49913
625	7.80081
650	6.43244
675	5.33642
700	4.4387
725	3.70675
750	3.10861
775	2.61656
800	2.21197
825	1.86142
850	1.58356
875	1.34699
900	1.15301
925	0.981406
950	0.842779
975	0.713432
1000	0.621866
1025	0.535563
1050	0.458716
1075	0.398794
1100	0.342626
1125	0.301119
1150	0.262408
1175	0.224723
1200	0.196044
1225	0.168114
1250	0.148219
1275	0.128682
1300	0.115645
1325	0.0987141
1350	0.0881654
1375	0.0778987
1400	0.0686671
1425	0.0591995
1450	0.0505255
1475	0.0478698
1500	0.0396228
1525	0.0348558
1550	0.0307165
1575	0.0271112
1600	0.0239083
1625	0.0209953
1650	0.0186409
1675	0.01647
1700	0.0144992
1725	0.0128156
1750	0.0113544
1775	0.0100029
1800	0.0088942
1825	0.00788156
1850	0.00695506
1875	0.00614707
1900	0.00543469
1925	0.00485995
1950	0.00432007
1975	0.00371358
2000	0.00323064
